Cinsiyet,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi,Yaş Grubu_18-30,Yaş Grubu_31-40,Yaş Grubu_41-50,Yaş Grubu_51-60,Yaş Grubu_>60
0,0,6,1,0.2617951973326162,1,0,0.5409715236170811,0.28459535532605734,0,obek_7,0.31419963881245516,0,0,0,0,1
0,1,6,1,0.27609537068886186,3,4,0.4775994802193982,0.30662456486864215,0,obek_7,0.3910607577992184,0,0,0,0,1
0,1,7,1,0.25116621405181766,0,0,0.49399047964069404,0.3915687411779434,0,obek_7,0.41340965813828306,1,0,0,0,0
1,1,5,1,0.2739981597232971,1,1,0.4550045619441681,0.3187402840386888,0,obek_7,0.31027518822996863,1,0,0,0,0
0,0,6,1,0.2715440517903389,0,0,0.5818644430120794,0.33494250931203584,0,obek_7,0.4673114735726614,0,0,1,0,0
0,1,5,1,0.24720495388830668,1,0,0.4370939523499435,0.32224692492061363,0,obek_7,0.3901376966865924,1,0,0,0,0
0,0,2,1,0.2809790136645991,3,3,0.5421336353776867,0.30245120956596533,0,obek_7,0.40999491863914717,0,0,1,0,0
0,1,7,1,0.2698739615241363,1,0,0.464656721146211,0.2887013340917859,0,obek_7,0.40773376934834726,1,0,0,0,0
0,0,5,3,0.2623001979836808,1,3,0.4856419694773199,0.24755627237308425,0,obek_7,0.3918868109712341,1,0,0,0,0
1,0,6,1,0.25746058602337824,0,2,0.539127612978306,0.32106613305873477,0,obek_7,0.40953156176478483,0,0,1,0,0
1,1,5,1,0.2534945277145533,1,2,0.598389796121302,0.3450059516258857,0,obek_7,0.4925740957760083,0,1,0,0,0
0,0,4,1,0.26040036978817493,0,3,0.5106074288512261,0.307442771147883,0,obek_7,0.44458209387039826,0,1,0,0,0
1,0,5,1,0.26072511453210817,0,0,0.5426831858167926,0.3352507153187442,1,obek_7,0.40432223000526885,0,0,1,0,0
0,0,5,2,0.2522125593349921,0,2,0.47259518000127293,0.3289641189075466,0,obek_7,0.3654168177436794,0,0,1,0,0
0,0,2,1,0.2640684100157279,0,0,0.578475045471182,0.29985581687811214,0,obek_7,0.40621875418576703,0,0,1,0,0
